Title|PageLink|Date|Section|Author
Objetivo: buscar el gluten para proteger a los celíacos |https://retina.elpais.com/retina/2019/04/02/innovacion/1554205772_620856.html|2019-04-04T07:45:06+02:00|24 horas|Santiago Blázquez
“Los investigadores son muy buenos en lo suyo, hay que dejarles hacer y poner un CEO” |https://retina.elpais.com/retina/2019/03/06/innovacion/1551877077_100801.html|2019-03-12T08:01:58+01:00|Negocio|Esther Paniagua
Realidad virtual para celebrar tus reuniones |https://retina.elpais.com/retina/2019/03/11/innovacion/1552292830_741319.html|2019-03-12T13:41:28+01:00|A golpe de Retina|El País Retina
Un conserje para tu ruptura: desde la mudanza hasta el terapeuta |https://retina.elpais.com/retina/2019/02/28/innovacion/1551350602_742245.html|2019-03-01T11:01:17+01:00|A golpe de Retina|El País Retina
Visitamos Lanzadera, la fábrica de empresarios innovadores del dueño de Mercadona |https://retina.elpais.com/retina/2019/02/18/innovacion/1550490272_715618.html|2019-02-22T07:55:10+01:00|Aceleradoras|Tomás López Morales
El emprendedor tecnológico que ha conseguido su tercer récord mundial rodeado de tiburones |https://retina.elpais.com/retina/2019/02/07/talento/1549536786_300310.html|2019-02-10T01:25:56+01:00|Talento|Javier Cortés
“Si el conocimiento no se convierte en dinero no habrá dinero que financie el conocimiento” |https://retina.elpais.com/retina/2019/02/05/talento/1549370775_470090.html|2019-02-06T07:52:56+01:00|'Startups'|Tomás López Morales
Escala: la mentalidad del emprendedor digital |https://retina.elpais.com/retina/2019/02/04/talento/1549276517_387559.html|2019-02-05T14:12:16+01:00|FIRMA INVITADA|Alberto González Pascual
¿Cómo me aseguro de que mi invento no existe ya en China? |https://retina.elpais.com/retina/2019/01/31/innovacion/1548933633_368427.html|2019-02-04T06:07:27+01:00|Patentes|José Ángel Plaza López
Una app para que las empresas controlen el horario de sus empleados |https://retina.elpais.com/retina/2019/01/30/innovacion/1548835749_835044.html|2019-01-30T09:19:30+01:00|Emprendedores|El País Retina
Trim (o cómo encontrarle más utilidades a la basura) |https://retina.elpais.com/retina/2019/01/29/innovacion/1548763830_867987.html|2019-01-30T07:58:45+01:00|Emprendedores|Jaime Susanna
La inteligencia artificial española busca al rey Midas (y no lo encuentra) |https://retina.elpais.com/retina/2019/01/23/tendencias/1548238602_920879.html|2019-01-26T05:16:38+01:00|Startups|Montse Hidalgo Pérez
¿Pueden las ‘startups’ trabajar para un solo cliente? |https://retina.elpais.com/retina/2018/12/28/tendencias/1545992150_029619.html|2019-01-03T07:31:43+01:00|Emprendimiento|Javier Cortés
“Es muy difícil que a un espacio de ‘coworking’ pequeño le salgan los números” |https://retina.elpais.com/retina/2018/12/28/tendencias/1545990020_884469.html|2019-01-02T07:45:16+01:00|Trabajo|Javier Cortés
La ‘startup’ que surgió de las profundidades de internet |https://retina.elpais.com/retina/2018/12/28/innovacion/1545983110_830476.html|2018-12-31T07:52:35+01:00|A golpe de Retina|El País Retina
“La salud digital está adquiriendo vicios de inversiones locas a lo Elon Musk” |https://retina.elpais.com/retina/2018/12/17/talento/1545039803_364930.html|2018-12-18T11:40:45+01:00|'Startups'|Esther Paniagua
Una red para hacer escalar proyectos de emprendimiento |https://retina.elpais.com/retina/2018/12/12/talento/1544609771_161715.html|2018-12-15T12:04:55+01:00|El podio|José Ángel Plaza López
El diseño del futuro quiere nacer en Carabanchel |https://retina.elpais.com/retina/2018/12/05/innovacion/1544019623_197363.html|2018-12-14T06:12:27+01:00|Espacios|Jorge G. García
La creatividad de Bogotá renace en las cenizas de su rincón más atroz |https://retina.elpais.com/retina/2018/12/05/innovacion/1544014857_095094.html|2018-12-13T06:12:19+01:00|Urbanismo|Montse Hidalgo Pérez
Ya puedes ver tu serie preferida mientras te sacan una muela |https://retina.elpais.com/retina/2018/12/10/innovacion/1544442424_269686.html|2018-12-11T06:15:11+01:00|Ideas Retina|El País Retina
De crear su primera ‘startup’ a los 14 a asesorar emprendedores a los 25 |https://retina.elpais.com/retina/2018/12/05/talento/1544004481_807027.html|2018-12-08T18:52:13+01:00|Talento|José Ángel Plaza López
La empresa que hace juguetes reutilizando tus envases |https://retina.elpais.com/retina/2018/12/05/innovacion/1544004285_807882.html|2018-12-07T22:32:28+01:00|Imágenes|Jaime Susanna
Pauli: “Si sabes cambiar una bombilla, puedes tener internet a través de la luz” |https://retina.elpais.com/retina/2018/12/04/innovacion/1543938217_121034.html|2018-12-06T08:33:51+01:00|Innovación|Jorge G. García
Audio Hora 25/ Cómo decide una startup si se fía de un inversor |https://retina.elpais.com/retina/2018/11/23/tendencias/1542974487_305461.html|2018-11-26T07:02:45+01:00|Cadena Ser para Informa|No autor
Los hermanos Orts: los reyes del Conga |https://retina.elpais.com/retina/2018/11/22/innovacion/1542886015_925324.html|2018-11-23T05:23:05+01:00|Emprendedores|Rebeca Gimeno
Bienvenidos a Pangyo, el Silicon Valley coreano |https://retina.elpais.com/retina/2018/11/20/innovacion/1542716788_304346.html|2018-11-22T06:15:18+01:00|Emprendedores|Jorge G. García
Un prototipo para hacer prototipos de objetos inteligentes |https://retina.elpais.com/retina/2018/11/19/innovacion/1542619208_505537.html|2018-11-20T06:21:37+01:00|IoT|Javier Cortés
La periodista que creó una pizarra transportable para que escribiesen los demás |https://retina.elpais.com/retina/2018/11/12/innovacion/1542024684_507751.html|2018-11-15T06:22:29+01:00|A golpe de Retina|El País Retina
“España castiga el fracaso, pero lo grave es que también castiga el éxito” |https://retina.elpais.com/retina/2018/11/05/tendencias/1541435608_331548.html|2018-11-08T10:28:10+01:00|Entorno digital|Javier Cortés
Job Today apuesta por dar transparencia a tu primer empleo |https://retina.elpais.com/retina/2018/10/24/tendencias/1540393146_016513.html|2018-10-31T06:08:12+01:00|Empleo|Javier Cortés
Gobiernos y emprendedores: una relación compleja, intensa y con mucho futuro |https://retina.elpais.com/retina/2018/10/24/tendencias/1540390850_360163.html|2018-10-25T05:29:46+02:00|FIRMA INVITADA|Idoia Ortiz
Miguel Vicente: “La tecnología nos lleva a una sociedad más meritocrática” |https://retina.elpais.com/retina/2018/10/15/talento/1539606198_232775.html|2018-10-17T23:33:55+02:00|'Startups'|Tomás López Morales
Objetivo: conectar a 10 millones de españoles con su médico |https://retina.elpais.com/retina/2018/10/09/innovacion/1539091095_233073.html|2018-10-10T06:04:10+02:00|A golpe de Retina|El País Retina
